species_name,birdlife_id,birdlife_common_name,ebird_id,ebird_common_name,ebird_species_fullname,ebird_species_name,jetz_species_name
Patagioenas subvinacea,22690328,Ruddy Pigeon,2011,Ruddy Pigeon (Ruddy),Patagioenas subvinacea [purpureotincta Group],Patagioenas subvinacea,Patagioenas_subvinacea
Patagioenas nigrirostris,22690334,Short-billed Pigeon,2019,Short-billed Pigeon,Patagioenas nigrirostris,Patagioenas nigrirostris,Patagioenas_nigrirostris
Patagioenas goodsoni,22690340,Dusky Pigeon,2021,Dusky Pigeon,Patagioenas goodsoni,Patagioenas goodsoni,Patagioenas_goodsoni
Starnoenas cyanocephala,22690970,Blue-headed Quail-dove,2323,Blue-headed Quail-Dove,Starnoenas cyanocephala,Starnoenas cyanocephala,Starnoenas_cyanocephala
Geotrygon purpurata,22728282,Purple Quail-dove,2324,Purple Quail-Dove,Geotrygon purpurata,Geotrygon purpurata,Geotrygon_saphirina
Geotrygon saphirina,22728277,Sapphire Quail-dove,2325,Sapphire Quail-Dove,Geotrygon saphirina,Geotrygon saphirina,Geotrygon_saphirina
Geotrygon versicolor,22690924,Crested Quail-dove,2328,Crested Quail-Dove,Geotrygon versicolor,Geotrygon versicolor,Geotrygon_versicolor
Geotrygon caniceps,22729904,Grey-headed Quail-dove,2335,Gray-fronted Quail-Dove,Geotrygon caniceps,Geotrygon caniceps,Geotrygon_caniceps
Geotrygon leucometopia,22729909,White-fronted Quail-dove,2336,White-fronted Quail-Dove,Geotrygon leucometopia,Geotrygon leucometopia,Geotrygon_caniceps
Geotrygon montana,22690966,Ruddy Quail-dove,2329,Ruddy Quail-Dove,Geotrygon montana,Geotrygon montana,Geotrygon_montana
Geotrygon montana,22690966,Ruddy Quail-dove,2330,Ruddy Quail-Dove (Ruddy),Geotrygon montana montana,Geotrygon montana,Geotrygon_montana
